Feature,Importance
Pedestrian_movement_Crossing_from_offside_masked_by_parked_or_statioNot_a_Pedestrianry_vehicle,0.00041769783926732504
Sex_of_driver_Unknown,0.0004156274986385486
Types_of_Junction_O_Shape,0.00041477183699017213
Junction_Lane_Context_No_junction_Unknown,0.0004065776419173001
Vehicle_Driver_Context_Lorry_11_40Q_2_5yr,0.00040090034589759045
Vehicle_driver_relation_Other,0.000397840150354913
Type_of_collision_Unknown,0.00039540915246533197
Area_Time_Context_Market_areas_Afternoon,0.0003869311382440405
Area_Time_Context_Residential_areas_Night,0.00038312851752512984
Driver_Context_31_50_Below_1yr,0.0003811936107577063
Vehicle_Driver_Context_Pick_up_upto_10Q_Below_1yr,0.0003798965104757009
Cause_Collision_Context_Driving_under_the_influence_of_drugs_Vehicle_with_vehicle_collision,0.00037877892056467193
Cause_Collision_Context_Other_Collision_with_pedestrians,0.0003785665202113619
Road_Environment_Dry_Daylight_Unknown,0.000372580928263534
Cause_of_accident_Turnover,0.00037224540263173015
Cause_Collision_Context_Getting_off_the_vehicle_improperly_Vehicle_with_vehicle_collision,0.00037006474717015444
Cause_Collision_Context_Moving_Backward_Collision_with_animals,0.00036825951418254773
Area_accident_occured_Outside_rural_areas,0.00036462170404785943
Vehicle_Driver_Context_Public_12_seats_unknown,0.0003565232403356814
Junction_Lane_Context_Other_Two_way_divided_with_broken_lines_road_marking,0.0003520314579052443
Cause_Collision_Context_Overspeed_Vehicle_with_vehicle_collision,0.00035098382971826097
Driver_Context_Over_51_unknown,0.00034974250878259293
Vehicle_Driver_Context_Public_12_seats_5_10yr,0.00034649699469241975
Vehicle_Driver_Context_Stationwagen_1_2yr,0.00034380813354552883
Vehicle_Driver_Context_Motorcycle_2_5yr,0.0003424657829500437
Vehicle_Driver_Context_Unknown_Above_10yr,0.0003303053185022038
Vehicle_Driver_Context_Pick_up_upto_10Q_Above_10yr,0.0003278185749625857
Area_Time_Context_Church_areas_Night,0.0003267647823884043
Junction_Lane_Context_Crossing_other,0.0003093674246918781
Driver_Context_Under_18_Below_1yr,0.00029956624087639015
Vehicle_Driver_Context_Lorry_41_100Q_Below_1yr,0.00029458462295954384
Vehicle_Driver_Context_Stationwagen_Above_10yr,0.00028890300380858335
Cause_Collision_Context_Other_Collision_with_roadside_objects,0.00028683908217880103
Area_Time_Context_Unknown_Evening,0.00028491890461045685
Vehicle_Driver_Context_Stationwagen_5_10yr,0.0002847572473665764
Vehicle_Driver_Context_Long_lorry_2_5yr,0.0002838781306661139
Driving_experience_unknown,0.0002821110223887972
Road_allignment_Steep_grade_upward_with_mountainous_terrain,0.00028160866471672966
Vehicle_Driver_Context_Long_lorry_Below_1yr,0.00027970045762289983
Vehicle_Driver_Context_Public_45_seats_2_5yr,0.0002789938871401019
Vehicle_Driver_Context_Lorry_11_40Q_1_2yr,0.00027865866585100843
Junction_Lane_Context_Crossing_One_way,0.0002751588273772415
Vehicle_movement_Waiting_to_go,0.0002725990625334166
Lanes_or_Medians_Two_way_divided_with_solid_lines_road_marking,0.0002705462368909684
Vehicle_Driver_Context_Stationwagen_Unknown,0.00026836612614195774
Road_surface_type_Unknown,0.0002678451472402403
Cause_Collision_Context_Turnover_Vehicle_with_vehicle_collision,0.0002611384559070512
Vehicle_Driver_Context_Lorry_41_100Q_Unknown,0.00026013220191088346
Area_Time_Context_Outside_rural_areas_Afternoon,0.00025665351656638664
Type_of_vehicle_Special_vehicle,0.00025397384024413745
Vehicle_Driver_Context_Unknown_Below_1yr,0.00025188628379141153
Vehicle_Driver_Context_Long_lorry_5_10yr,0.0002485975300627736
Junction_Lane_Context_O_Shape_One_way,0.0002464827752054045
Junction_Lane_Context_Y_Shape_Unknown,0.00024375310017951698
Vehicle_Driver_Context_Public_13_45_seats_Above_10yr,0.0002392599812311514
Cause_Collision_Context_No_priority_to_pedestrian_Collision_with_roadside_objects,0.00023914575684521932
Vehicle_Driver_Context_Public_13_45_seats_Below_1yr,0.00023416589552726814
Weather_conditions_Windy,0.00022980445426138752
WetRoad_Night,0.0002284960408350617
Cause_Collision_Context_Overtaking_Collision_with_roadside_objects,0.00022844705613522812
